"Indicator Code","Indicator Name","Aggregation method","Dataset","General comments","License Type","License URL","Long definition","Periodicity","Reference period","Short definition","Source","Topic","Unit of measure","Related indicators","Development relevance","Limitations and exceptions","Notes from original source","Statistical concept and methodology","Other web links","Base Period","Other notes","Previous Indicator Name","Related source links"
"SE.TER.GRAD.FE.AG.ZS","Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes (%, tertiary)","","","The indicator has been changed from ""Female share of graduates in Agriculture programmes, tertiary (%)"" to ""Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)"" as of January 2021.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.ED.ZS","Female share of graduates in education (%, tertiary)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.EN.ZS","Female share of graduates in engineering, manufacturing and construction (%, tertiary)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.HL.ZS","Female share of graduates in health and welfare (%, tertiary)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.HU.ZS","Female share of graduates in Arts and Humanities programmes (%, tertiary)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.OT.ZS","Female share of graduates in unknown or unspecified fields (%, tertiary)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.SC.ZS","Female share of graduates in Natural Sciences, Mathematics and Statistics programmes (%, tertiary)","","","The indicator has been changed from ""Female share of graduates in Science programmes, tertiary (%)"" to ""Female share of graduates in Natural Sciences, Mathematics and Statisticsprogrammes, tertiary (%)"" as of January 2021.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.SI.ZS","Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","","Annual","","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","","Technology","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.SS.ZS","Female share of graduates in Social Sciences, Journalism and Information programmes (%, tertiary)","","","The indicator has been changed from ""Female share of graduates in Social Science, Business and Law programmes, tertiary (%)"" to ""Female share of graduates in Social Sciences, Journalism and Information programmes, tertiary (%)"" as of January 2021.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
"SE.TER.GRAD.FE.SV.ZS","Female share of graduates in services (%, tertiary)","","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Female share of graduates in the given field of education, tertiary is the number of female graduates expressed as a percentage of the total number of graduates in the given field of education from tertiary education.","Annual","","","UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.","Education","","","","","","Percentage of female graduates by field of study in tertiary education is calculated by dividing the number of female graduates in a given field of education from tertiary education by the total number of graduates in the same field, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","","","","",""
